user_id,user_gender,user_age,buy_count,cheese_texture,cheese_one_price,age_group,cheese_category_code,cheese_texture_code
3984713,1,30,1,후레쉬치즈,"3,870원",1.0,1,1
4146119,1,50,1,소프트치즈,"4,165원",3.0,8,4
4536996,1,40,1,후레쉬치즈,"3,990원",2.0,1,1
62825,1,30,1,후레쉬치즈,"3,900원",1.0,1,1
802471,1,30,1,후레쉬치즈,"3,990원",1.0,1,1
6113666,1,40,3,후레쉬치즈,"6,240원",2.0,1,1
2176654,0,30,1,후레쉬치즈,"3,870원",1.0,1,1
3215204,1,40,1,후레쉬치즈,"3,870원",2.0,1,1
4023564,1,30,1,후레쉬치즈,"7,900원",1.0,11,1
1837901,1,30,2,후레쉬치즈,"3,900원",1.0,1,1
1007525,1,20,1,후레쉬치즈,"14,900원",,11,1
3390002,1,30,1,후레쉬치즈,"6,860원",1.0,3,1
5421321,1,20,1,세미하드,"4,900원",,4,2
5135386,1,50,1,소프트치즈,"4,165원",3.0,8,4
5814877,1,40,1,후레쉬치즈,"6,900원",2.0,1,1
5393933,1,40,1,후레쉬치즈,"15,900원",2.0,1,1
4506406,1,20,1,소프트치즈,"5,130원",,8,4
670108,1,30,2,후레쉬치즈,"14,900원",1.0,11,1
1210215,1,20,1,후레쉬치즈,"6,860원",,3,1
1973691,0,30,1,하드치즈,"7,200원",1.0,10,3
4767131,1,50,10,후레쉬치즈,"3,870원",3.0,1,1
5998571,1,40,1,후레쉬치즈,"15,900원",2.0,1,1
4771628,1,50,1,소프트치즈,"8,400원",3.0,8,4
5840808,1,30,5,후레쉬치즈,"14,900원",1.0,11,1
5382833,0,40,1,세미하드,"4,900원",2.0,4,2
2822517,1,30,3,후레쉬치즈,"3,900원",1.0,1,1
4336843,0,40,2,후레쉬치즈,"3,990원",2.0,1,1
2235841,1,40,4,후레쉬치즈,"3,870원",2.0,1,1
4916350,1,40,1,후레쉬치즈,"4,900원",2.0,1,1
1350575,1,40,1,후레쉬치즈,"15,900원",2.0,1,1
5944597,1,40,1,후레쉬치즈,"14,900원",2.0,11,1
1630384,1,30,1,하드치즈,"7,900원",1.0,5,3
1718175,1,20,1,후레쉬치즈,"3,990원",,1,1
3397534,1,30,1,후레쉬치즈,"3,870원",1.0,1,1
2649412,1,30,1,세미하드치즈,"5,500원",1.0,10,2
6171349,1,40,1,소프트치즈,"4,165원",2.0,7,4
1405726,1,30,1,후레쉬치즈,"6,600원",1.0,11,1
2596789,0,40,3,소프트치즈,"7,500원",2.0,2,4
4063947,1,40,1,후레쉬치즈,"3,990원",2.0,1,1
1579112,1,40,1,세미하드치즈,"10,500원",2.0,6,2
3290745,1,40,2,소프트치즈,"7,500원",2.0,2,4
730479,1,30,1,하드치즈,"7,200원",1.0,10,3
352795,1,30,1,후레쉬치즈,"3,900원",1.0,1,1
6195754,1,30,1,후레쉬치즈,"3,990원",1.0,1,1
3663030,1,30,1,후레쉬치즈,"6,800원",1.0,1,1
3503797,1,30,1,후레쉬치즈,"6,800원",1.0,1,1
2440474,1,30,2,후레쉬치즈,"14,900원",1.0,11,1
3155698,1,30,1,후레쉬치즈,"3,990원",1.0,1,1
1856437,1,40,1,하드치즈,"7,900원",2.0,5,3
336642,1,40,1,소프트치즈,"4,165원",2.0,7,4
1157091,1,50,1,후레쉬치즈,"7,900원",3.0,11,1
2071731,1,40,1,소프트치즈,"4,165원",2.0,8,4
2728032,1,40,15,후레쉬치즈,"4,900원",2.0,1,1
4210597,1,30,1,후레쉬치즈,"3,990원",1.0,1,1
2997253,1,30,2,후레쉬치즈,"3,900원",1.0,1,1
5303909,1,50,1,후레쉬치즈,"6,800원",3.0,1,1
3687964,0,40,1,하드치즈,"7,200원",2.0,10,3
674803,1,40,1,후레쉬치즈,"4,600원",2.0,3,1
333486,0,50,2,세미하드,"4,900원",3.0,1,2
3708191,0,40,1,후레쉬치즈,"14,900원",2.0,11,1
4510786,0,40,6,후레쉬치즈,"3,870원",2.0,1,1
5789714,1,60,2,세미하드,"4,900원",,4,2
2685980,1,20,2,세미하드치즈,"5,500원",,10,2
